Country_Code,Country,Pop
ABW,Aruba,104822
AFG,Afghanistan,34656032
AGO,Angola,28813463
ALB,Albania,2876101
AND,Andorra,77281
ARB,Arab World,406452690
ARE,United Arab Emirates,9269612
ARG,Argentina,43847430
ARM,Armenia,2924816
ASM,American Samoa,55599
ATG,Antigua and Barbuda,100963
AUS,Australia,24127159
AUT,Austria,8747358
AZE,Azerbaijan,9762274
BDI,Burundi,10524117
BEL,Belgium,11348159
BEN,Benin,10872298
BFA,Burkina Faso,18646433
BGD,Bangladesh,162951560
BGR,Bulgaria,7127822
BHR,Bahrain,1425171
BHS,"Bahamas, The",391232
BIH,Bosnia and Herzegovina,3516816
BLR,Belarus,9507120
BLZ,Belize,366954
BMU,Bermuda,65331
BOL,Bolivia,10887882
BRA,Brazil,207652865
BRB,Barbados,284996
BRN,Brunei,423196
BTN,Bhutan,797765
BWA,Botswana,2250260
CAF,Central African Republic,4594621
CAN,Canada,36286425
CEB,Central Europe and the Baltics,102974082
CHE,Switzerland,8372098
CHI,Channel Islands,164541
CHL,Chile,17909754
CHN,China,1378665000
CIV,Cote d'Ivoire,23695919
CMR,Cameroon,23439189
COD,"Congo, Dem. Rep.",78736153
COG,"Congo, Rep.",5125821
COL,Colombia,48653419
COM,Comoros,795601
CPV,Cabo Verde,539560
CRI,Costa Rica,4857274
CSS,Caribbean small states,7245472
CUB,Cuba,11475982
CUW,Curacao,159999
CYM,Cayman Islands,60765
CYP,Cyprus,1170125
CZE,Czech Republic,10561633
DEU,Germany,82667685
DJI,Djibouti,942333
DMA,Dominica,73543
DNK,Denmark,5731118
DOM,Dominican Republic,10648791
DZA,Algeria,40606052
EAP,East Asia & Pacific (excluding high income),2051452657
EAR,Early-demographic dividend,3170542188
EAS,East Asia & Pacific,2296786207
ECA,Europe & Central Asia (excluding high income),417424643
ECS,Europe & Central Asia,911995305
ECU,Ecuador,16385068
EGY,Egypt,95688681
EMU,Euro area,340894606
ERI,Eritrea,
ESP,Spain,46443959
EST,Estonia,1316481
ETH,Ethiopia,102403196
EUU,European Union,511497415
FCS,Fragile and conflict affected situations,496575241
FIN,Finland,5495096
FJI,Fiji,898760
FRA,France,66896109
FRO,Faroe Islands,49117
FSM,"Micronesia, Fed. Sts.",104937
GAB,Gabon,1979786
GBR,United Kingdom,65637239
GEO,Georgia,3719300
GHA,Ghana,28206728
GIB,Gibraltar,34408
GIN,Guinea,12395924
GMB,"Gambia, The",2038501
GNB,Guinea-Bissau,1815698
GNQ,Equatorial Guinea,1221490
GRC,Greece,10746740
GRD,Grenada,107317
GRL,Greenland,56186
GTM,Guatemala,16582469
GUM,Guam,162896
GUY,Guyana,773303
HIC,High income,1190029421
HKG,"Hong Kong SAR, China",7346700
HND,Honduras,9112867
HPC,Heavily indebted poor countries (HIPC),744602976
HRV,Croatia,4170600
HTI,Haiti,10847334
HUN,Hungary,9817958
IBD,IBRD only,4697247117
IBT,IDA & IBRD total,6271593092
IDA,IDA total,1574345975
IDB,IDA blend,521159393
IDN,Indonesia,261115456
IDX,IDA only,1053186582
IMN,Isle of Man,83737
IND,India,1324171354
IRL,Ireland,4773095
IRN,Iran,80277428
IRQ,Iraq,37202572
ISL,Iceland,334252
ISR,Israel,8547100
ITA,Italy,60600590
JAM,Jamaica,2881355
JOR,Jordan,9455802
JPN,Japan,126994511
KAZ,Kazakhstan,17797032
KEN,Kenya,48461567
KGZ,Kyrgyz Republic,6082700
KHM,Cambodia,15762370
KIR,Kiribati,114395
KNA,St. Kitts and Nevis,54821
KOR,"Korea, Rep.",51245707
KWT,Kuwait,4052584
LAC,Latin America & Caribbean (excluding high income),610136397
LAO,Lao PDR,6758353
LBN,Lebanon,6006668
LBR,Liberia,4613823
LBY,Libya,6293253
LCA,St. Lucia,178015
LCN,Latin America & Caribbean,637664490
LDC,Least developed countries: UN classification,980609415
LIC,Low income,659272676
LIE,Liechtenstein,37666
LKA,Sri Lanka,21203000
LMC,Lower middle income,3012923806
LMY,Low & middle income,6247922508
LSO,Lesotho,2203821
LTE,Late-demographic dividend,2262709895
LTU,Lithuania,2872298
LUX,Luxembourg,582972
LVA,Latvia,1960424
MAC,"Macao SAR, China",612167
MAF,St. Martin (French part),31949
MAR,Morocco,35276786
MCO,Monaco,38499
MDA,Moldova,3552000
MDG,Madagascar,24894551
MDV,Maldives,417492
MEA,Middle East & North Africa,436720722
MEX,Mexico,127540423
MHL,Marshall Islands,53066
MIC,Middle income,5592833481
MKD,"Macedonia, FYR",2081206
MLI,Mali,17994837
MLT,Malta,436947
MMR,Myanmar,52885223
MNA,Middle East & North Africa (excluding high income),373719055
MNE,Montenegro,622781
MNG,Mongolia,3027398
MNP,Northern Mariana Islands,55023
MOZ,Mozambique,28829476
MRT,Mauritania,4301018
MUS,Mauritius,1263473
MWI,Malawi,18091575
